InvoiceSectionName,Date,MeterCategory,CostInBillingCurrency,MeterSubCategory,MeterName,SubscriptionName,ResourceGroup,ConsumedService,ResourceLocation,ResourceName
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-27,Storage,3.777460488e-06,Tables,Batch Write Operations,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,b7a224fd6fa8fa38fa7ab232e1ac3012ab5a23dbce44eefac7c5e37888e65ae0,Microsoft.Storage,westeurope,c689b9c208914bbd26c1f890e9790f3cb89356104ff7d4fb12ee2eafa644d8ed
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-27,Storage,4.5512209572e-05,Files,Protocol Operations,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,6b5cff580bfebe0b136904f7ab78c83e3447bc5f195bae1ab35ab6941e6de51e,Microsoft.Storage,westeurope,0a5b583f0529d02cf5d46a67000e817f98c156e2431a468219f2ca26092a7335
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-27,Storage,3.777460488e-06,Tables,Batch Write Operations,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,b8f471cacc566df0a5d6fd119b10835658eca54501ac98af25d77e6122220787,Microsoft.Storage,westeurope,4c0e002ee645f52693ad46ef7a8f9ee1d0b90e75e2f7d4eec81e5e6bae563c1b
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Storage,4.474808971e-06,Tiered Block Blob,All Other Operations,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.Storage,westeurope,3501e5901913b45198f8732886bd2e3da903009add21ccb00c16de0f9ddeed47
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Bandwidth,6.825817607e-06,Inter-Region,Inter Continent Data Transfer Out - NAM or EU To Any,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,b8f471cacc566df0a5d6fd119b10835658eca54501ac98af25d77e6122220787,Microsoft.Storage,westeurope,4c0e002ee645f52693ad46ef7a8f9ee1d0b90e75e2f7d4eec81e5e6bae563c1b
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Load Balancer,0.018599832635028,Standard,Standard Included LB Rules and Outbound Rules,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Storage,2.154484826e-06,General Block Blob v2 Hierarchical Namespace,Hot Other Operations,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,08e5dbde23bb7de59bd58ddee13929d76f2b683a059ab6750fa81084fc4cc092,Microsoft.Storage,westeurope,431c3d063b57dc0c74967f6d6abe4d6bcda487cf28fe4f226f72a9397db7a545
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Virtual Machines,0.028192243814444,Dv2/DSv2 Series,D11 v2/DS11 v2 Low Priority,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Storage,0.014311926605505,Standard SSD Managed Disks,E2 Disks,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,43c17db9ed1b2f8fb2b00a32c6223f6e6b1e4b9b92b5c303e83b8f542db82cbc,Microsoft.Compute,northeurope,f63870dd6c1ccec3b325e06c9656c0a28043257454fa5fd052f2183551e6309d
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Load Balancer,0.018599832635028,Standard,Standard Included LB Rules and Outbound Rules,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
